base_word,animacy,inflection
new,HUM,['new']
old,HUM,['old']
short,HUM,['short']
tall,HUM,['tall']
nervous,HUM,['nervous']
beautiful,HUM,['beautiful']
important,HUM,['important']
resilient,HUM,['resilient']
wonderful,HUM,['wonderful']
happy,HUM,['happy']
professional,HUM,['professional']
wealthy,HUM,['wealthy']
humble,HUM,['humble']
poor,HUM,['poor']
new,NHUM,['new']
big,NHUM,['big']
small,NHUM,['small']
captivating,NHUM,['captivating']
old,NHUM,['old']
ugly,NHUM,['ugly']
amazing,NHUM,['amazing']
outstanding,NHUM,['outstanding']
neat,NHUM,['neat']
dirty,NHUM,['dirty']
long,NHUM,['long']
