base_word,animacy,plurality,inflection
year,NHUM,SG,['year']
year,NHUM,PL,['years']
country,NHUM,SG,['country']
country,NHUM,PL,['countries']
hospital,NHUM,SG,['hospital']
hospital,NHUM,PL,['hospitals']
house,NHUM,SG,['house']
house,NHUM,PL,['houses']
book,NHUM,SG,['book']
book,NHUM,PL,['books']
playground,NHUM,SG,['playground']
playground,NHUM,PL,['playgrounds']
door,NHUM,SG,['door']
door,NHUM,PL,['doors']
river,NHUM,SG,['river']
river,NHUM,PL,['rivers']
planet,NHUM,SG,['planet']
planet,NHUM,PL,['planets']
chair,NHUM,SG,['chair']
chair,NHUM,PL,['chairs']
building,NHUM,SG,['building']
building,NHUM,PL,['buildings']
box,NHUM,SG,['box']
box,NHUM,PL,['boxes']
restaurant,NHUM,SG,['restaurant']
restaurant,NHUM,PL,['restaurants']
key,NHUM,SG,['key']
key,NHUM,PL,['keys']
pen,NHUM,SG,['pen']
pen,NHUM,PL,['pens']
notebook,NHUM,SG,['notebook']
notebook,NHUM,PL,['notebooks']
coat,NHUM,SG,['coat']
coat,NHUM,PL,['coats']
car,NHUM,SG,['car']
car,NHUM,PL,['cars']
ship,NHUM,SG,['ship']
ship,NHUM,PL,['ships']
airplane,NHUM,SG,['airplane']
airplane,NHUM,PL,['airplanes']
card,NHUM,SG,['card']
card,NHUM,PL,['cards']
bag,NHUM,SG,['bag']
bag,NHUM,PL,['bags']
clock,NHUM,SG,['clock']
clock,NHUM,PL,['clocks']
castle,NHUM,SG,['castle']
castle,NHUM,PL,['castles']
newspaper,NHUM,SG,['newspaper']
newspaper,NHUM,PL,['newspapers']
machine,NHUM,SG,['machine']
machine,NHUM,PL,['machines']
room,NHUM,SG,['room']
room,NHUM,PL,['rooms']
table,NHUM,SG,['table']
table,NHUM,PL,['tables']
butterfly,NHUM,SG,['butterfly']
butterfly,NHUM,PL,['butterflies']
tree,NHUM,SG,['tree']
tree,NHUM,PL,['trees']
hall,NHUM,SG,['hall']
hall,NHUM,PL,['halls']
apartment,NHUM,SG,['apartment']
apartment,NHUM,PL,['apartments']
mirror,NHUM,SG,['mirror']
mirror,NHUM,PL,['mirrors']
fruit,NHUM,SG,['fruit']
fruit,NHUM,PL,['fruits']
school,NHUM,SG,['school']
school,NHUM,PL,['schools']
