base_word,animacy,plurality,inflection
soldier,HUM,SG,['soldier']
soldier,HUM,PL,['soldiers']
minister,HUM,SG,['minister']
minister,HUM,PL,['ministers']
merchant,HUM,SG,['merchant']
merchant,HUM,PL,['merchants']
monarch,HUM,SG,['monarch']
monarch,HUM,PL,['monarchs']
president,HUM,SG,['president']
president,HUM,PL,['presidents']
deputy,HUM,SG,['deputy']
deputy,HUM,PL,['deputies']
writer,HUM,SG,['writer']
writer,HUM,PL,['writers']
leader,HUM,SG,['leader']
leader,HUM,PL,['leaders']
prince,HUM,SG,['prince']
prince,HUM,PL,['princes']
member,HUM,SG,['member']
member,HUM,PL,['members']
founder,HUM,SG,['founder']
founder,HUM,PL,['founders']
chief,HUM,SG,['chief']
chief,HUM,PL,['chiefs']
translator,HUM,SG,['translator']
translator,HUM,PL,['translators']
journalist,HUM,SG,['journalist']
journalist,HUM,PL,['journalists']
officer,HUM,SG,['officer']
officer,HUM,PL,['officers']
official,HUM,SG,['official']
official,HUM,PL,['officials']
witness,HUM,SG,['witness']
witness,HUM,PL,['witnesses']
warrior,HUM,SG,['warrior']
warrior,HUM,PL,['warriors']
farmer,HUM,SG,['farmer']
farmer,HUM,PL,['farmers']
driver,HUM,SG,['driver']
driver,HUM,PL,['drivers']
citizen,HUM,SG,['citizen']
citizen,HUM,PL,['citizens']
actor,HUM,SG,['actor']
actor,HUM,PL,['actors']
traveler,HUM,SG,['traveler']
traveler,HUM,PL,['travelers']
passenger,HUM,SG,['passenger']
passenger,HUM,PL,['passengers']
manager,HUM,SG,['manager']
manager,HUM,PL,['managers']
engineer,HUM,SG,['engineer']
engineer,HUM,PL,['engineers']
scientist,HUM,SG,['scientist']
scientist,HUM,PL,['scientists']
player,HUM,SG,['player']
player,HUM,PL,['players']
sibling,HUM,SG,['sibling']
sibling,HUM,PL,['siblings']
lawyer,HUM,SG,['lawyer']
lawyer,HUM,PL,['lawyers']
police officer,HUM,SG,['police officer']
police officer,HUM,PL,['police officers']
researcher,HUM,SG,['researcher']
researcher,HUM,PL,['researchers']
poet,HUM,SG,['poet']
poet,HUM,PL,['poets']
employee,HUM,SG,['employee']
employee,HUM,PL,['employees']
