base_word,mood,plurality,tense,inflection
smile,IND,SG,PRS,['smiles']
smile,IND,PL,PRS,['smile']
smile,IND,SG,PST,['smiled']
smile,IND,PL,PST,['smiled']
smile,IMP,SG,,['smile']
smile,IMP,PL,,['smile']
laugh,IND,SG,PRS,['laughs']
laugh,IND,PL,PRS,['laugh']
laugh,IND,SG,PST,['laughed']
laugh,IND,PL,PST,['laughed']
laugh,IMP,SG,,['laugh']
laugh,IMP,PL,,['laugh']
think,IND,SG,PRS,['thinks']
think,IND,PL,PRS,['think']
think,IND,SG,PST,['thought']
think,IND,PL,PST,['thought']
think,IMP,SG,,['think']
think,IMP,PL,,['think']
sit,IND,SG,PRS,['sits']
sit,IND,PL,PRS,['sit']
sit,IND,SG,PST,['sat']
sit,IND,PL,PST,['sat']
sit,IMP,SG,,['sit']
sit,IMP,PL,,['sit']
rise,IND,SG,PRS,['rises']
rise,IND,PL,PRS,['rise']
rise,IND,SG,PST,['rose']
rise,IND,PL,PST,['rose']
rise,IMP,SG,,['rise']
rise,IMP,PL,,['rise']
wait,IND,SG,PRS,['waits']
wait,IND,PL,PRS,['wait']
wait,IND,SG,PST,['waited']
wait,IND,PL,PST,['waited']
wait,IMP,SG,,['wait']
wait,IMP,PL,,['wait']
breathe,IND,SG,PRS,['breathes']
breathe,IND,PL,PRS,['breathe']
breathe,IND,SG,PST,['breathed']
breathe,IND,PL,PST,['breathed']
breathe,IMP,SG,,['breathe']
breathe,IMP,PL,,['breathe']
walk,IND,SG,PRS,['walks']
walk,IND,PL,PRS,['walk']
walk,IND,SG,PST,['walked']
walk,IND,PL,PST,['walked']
walk,IMP,SG,,['walk']
walk,IMP,PL,,['walk']
speak,IND,SG,PRS,['speaks']
speak,IND,PL,PRS,['speak']
speak,IND,SG,PST,['spoke']
speak,IND,PL,PST,['spoke']
speak,IMP,SG,,['speak']
speak,IMP,PL,,['speak']
run,IND,SG,PRS,['runs']
run,IND,PL,PRS,['run']
run,IND,SG,PST,['ran']
run,IND,PL,PST,['ran']
run,IMP,SG,,['run']
run,IMP,PL,,['run']
dance,IND,SG,PRS,['dances']
dance,IND,PL,PRS,['dance']
dance,IND,SG,PST,['danced']
dance,IND,PL,PST,['danced']
dance,IMP,SG,,['dance']
dance,IMP,PL,,['dance']
sing,IND,SG,PRS,['sings']
sing,IND,PL,PRS,['sing']
sing,IND,SG,PST,['sang']
sing,IND,PL,PST,['sang']
sing,IMP,SG,,['sing']
sing,IMP,PL,,['sing']
look,IND,SG,PRS,['looks']
look,IND,PL,PRS,['look']
look,IND,SG,PST,['looked']
look,IND,PL,PST,['looked']
look,IMP,SG,,['look']
look,IMP,PL,,['look']
jump,IND,SG,PRS,['jumps']
jump,IND,PL,PRS,['jump']
jump,IND,SG,PST,['jumped']
jump,IND,PL,PST,['jumped']
jump,IMP,SG,,['jump']
jump,IMP,PL,,['jump']
run,IND,SG,PRS,['runs']
run,IND,PL,PRS,['run']
run,IND,SG,PST,['ran']
run,IND,PL,PST,['ran']
run,IMP,SG,,['run']
run,IMP,PL,,['run']
go,IND,SG,PRS,['goes']
go,IND,PL,PRS,['go']
go,IND,SG,PST,['went']
go,IND,PL,PST,['went']
go,IMP,SG,,['go']
go,IMP,PL,,['go']
return,IND,SG,PRS,['returns']
return,IND,PL,PRS,['return']
return,IND,SG,PST,['returned']
return,IND,PL,PST,['returned']
return,IMP,SG,,['return']
return,IMP,PL,,['return']
sleep,IND,SG,PRS,['sleeps']
sleep,IND,PL,PRS,['sleep']
sleep,IND,SG,PST,['slept']
sleep,IND,PL,PST,['slept']
sleep,IMP,SG,,['sleep']
sleep,IMP,PL,,['sleep']
shout,IND,SG,PRS,['shouts']
shout,IND,PL,PRS,['shout']
shout,IND,SG,PST,['shouted']
shout,IND,PL,PST,['shouted']
shout,IMP,SG,,['shout']
shout,IMP,PL,,['shout']
move,IND,SG,PRS,['moves']
move,IND,PL,PRS,['move']
move,IND,SG,PST,['moved']
move,IND,PL,PST,['moved']
move,IMP,SG,,['move']
move,IMP,PL,,['move']
enter,IND,SG,PRS,['enters']
enter,IND,PL,PRS,['enter']
enter,IND,SG,PST,['entered']
enter,IND,PL,PST,['entered']
enter,IMP,SG,,['enter']
enter,IMP,PL,,['enter']
listen,IND,SG,PRS,['listens']
listen,IND,PL,PRS,['listen']
listen,IND,SG,PST,['listened']
