base_word,animacy,case,plurality,inflection
vainoharhainen,HUM,NOM,SG,['vainoharhainen']
vainoharhainen,HUM,NOM,PL,['vainoharhaiset']
vainoharhainen,HUM,ACC,SG,['vainoharhainen']
vainoharhainen,HUM,ACC,PL,['vainoharhaiset']
vainoharhainen,HUM,GEN,SG,['vainoharhaisen']
vainoharhainen,HUM,GEN,PL,['vainoharhaisten']
vainoharhainen,HUM,PRT,SG,['vainoharhaista']
vainoharhainen,HUM,PRT,PL,['vainoharhaisia']
vainoharhainen,HUM,FRML,SG,['vainoharhaisena']
vainoharhainen,HUM,FRML,PL,['vainoharhaisina']
vainoharhainen,HUM,TRANS,SG,['vainoharhaiseksi']
vainoharhainen,HUM,TRANS,PL,['vainoharhaisiksi']
uusi,HUM,NOM,SG,['uusi']
uusi,HUM,NOM,PL,['uudet']
uusi,HUM,ACC,SG,['uusi']
uusi,HUM,ACC,PL,['uudet']
uusi,HUM,GEN,SG,['uuden']
uusi,HUM,GEN,PL,['uusien']
uusi,HUM,PRT,SG,['uutta']
uusi,HUM,PRT,PL,['uusia']
uusi,HUM,FRML,SG,['uutena']
uusi,HUM,FRML,PL,['uusina']
uusi,HUM,TRANS,SG,['uudeksi']
uusi,HUM,TRANS,PL,['uusiksi']
vanha,HUM,NOM,SG,['vanha']
vanha,HUM,NOM,PL,['vanhat']
vanha,HUM,ACC,SG,['vanha']
vanha,HUM,ACC,PL,['vanhat']
vanha,HUM,GEN,SG,['vanhan']
vanha,HUM,GEN,PL,['vanhojen']
vanha,HUM,PRT,SG,['vanhaa']
vanha,HUM,PRT,PL,['vanhoja']
vanha,HUM,FRML,SG,['vanhana']
vanha,HUM,FRML,PL,['vanhoina']
vanha,HUM,TRANS,SG,['vanhaksi']
vanha,HUM,TRANS,PL,['vanhoiksi']
pitkä,HUM,NOM,SG,['pitkä']
pitkä,HUM,NOM,PL,['pitkät']
pitkä,HUM,ACC,SG,['pitkä']
pitkä,HUM,ACC,PL,['pitkät']
pitkä,HUM,GEN,SG,['pitkän']
pitkä,HUM,GEN,PL,['pitkien']
pitkä,HUM,PRT,SG,['pitkää']
pitkä,HUM,PRT,PL,['pitkiä']
pitkä,HUM,FRML,SG,['pitkänä']
pitkä,HUM,FRML,PL,['pitkinä']
pitkä,HUM,TRANS,SG,['pitkäksi']
pitkä,HUM,TRANS,PL,['pitkiksi']
kaunis,HUM,NOM,SG,['kaunis']
kaunis,HUM,NOM,PL,['kauniit']
kaunis,HUM,ACC,SG,['kaunis']
kaunis,HUM,ACC,PL,['kauniit']
kaunis,HUM,GEN,SG,['kauniin']
kaunis,HUM,GEN,PL,['kauniiden']
kaunis,HUM,PRT,SG,['kaunista']
kaunis,HUM,PRT,PL,['kauniita']
kaunis,HUM,FRML,SG,['kauniina']
kaunis,HUM,FRML,PL,['kauniina']
kaunis,HUM,TRANS,SG,['kauniiksi']
kaunis,HUM,TRANS,PL,['kauniiksi']
tärkeä,HUM,NOM,SG,['tärkeä']
tärkeä,HUM,NOM,PL,['tärkeät']
tärkeä,HUM,ACC,SG,['tärkeä']
tärkeä,HUM,ACC,PL,['tärkeät']
tärkeä,HUM,GEN,SG,['tärkeän']
tärkeä,HUM,GEN,PL,['tärkeiden']
tärkeä,HUM,PRT,SG,['tärkeää']
tärkeä,HUM,PRT,PL,['tärkeitä']
tärkeä,HUM,FRML,SG,['tärkeänä']
tärkeä,HUM,FRML,PL,['tärkeinä']
tärkeä,HUM,TRANS,SG,['tärkeäksi']
tärkeä,HUM,TRANS,PL,['tärkeiksi']
luja,HUM,NOM,SG,['luja']
luja,HUM,NOM,PL,['lujat']
luja,HUM,ACC,SG,['luja']
luja,HUM,ACC,PL,['lujat']
luja,HUM,GEN,SG,['lujan']
luja,HUM,GEN,PL,['lujien']
luja,HUM,PRT,SG,['lujaa']
luja,HUM,PRT,PL,['lujia']
luja,HUM,FRML,SG,['lujana']
luja,HUM,FRML,PL,['lujina']
luja,HUM,TRANS,SG,['lujaksi']
luja,HUM,TRANS,PL,['lujiksi']
mahtava,HUM,NOM,SG,['mahtava']
mahtava,HUM,NOM,PL,['mahtavat']
mahtava,HUM,ACC,SG,['mahtava']
mahtava,HUM,ACC,PL,['mahtavat']
mahtava,HUM,GEN,SG,['mahtavan']
mahtava,HUM,GEN,PL,['mahtavien']
