base_word,case,inflection
Helsinki,illative,['Helsinkiin']
Helsinki,allative,['Helsingille']
Turku,illative,['Turkuun']
Turku,allative,['Turulle']
Tampere,illative,['Tampereeseen']
Tampere,allative,['Tampereelle']
Oulu,illative,['Ouluun']
Oulu,allative,['Oululle']
Espoo,illative,['Espooseen']
Espoo,allative,['Espoolle']
Jyväskylä,illative,['Jyväskylään']
Jyväskylä,allative,['Jyväskylälle']
Lahti,illative,['Lahteen']
Lahti,allative,['Lahdelle']
Seinäjoki,illative,['Seinäjokeen']
Seinäjoki,allative,['Seinäjoelle']
Porvoo,illative,['Porvooseen']
Porvoo,allative,['Porvoolle']
Vaasa,illative,['Vaasaan']
Vaasa,allative,['Vaasalle']
Pori,illative,['Poriin']
Pori,allative,['Porille']
Kotka,illative,['Kotkaan']
Kotka,allative,['Kotkalle']
Salo,illative,['Saloon']
Salo,allative,['Salolle']
Lappeenranta,illative,['Lappeenrantaan']
Lappeenranta,allative,['Lappeenrannalle']
Kuopio,illative,['Kuopioon']
Kuopio,allative,['Kuopiolle']
Joensuu,illative,['Joensuuhun']
Joensuu,allative,['Joensuulle']
Mikkeli,illative,['Mikkeliin']
Mikkeli,allative,['Mikkelille']
Kokkola,illative,['Kokkolaan']
Kokkola,allative,['Kokolalle']
Kajaani,illative,['Kajaaniin']
Kajaani,allative,['Kajaanille']
