base_word,case,inflection
Helsinki,illative,['Helsinkiin']
Turku,illative,['Turkuun']
Tampere,allative,['Tampereelle']
Oulu,illative,['Ouluun']
Espoo,illative,['Espooseen']
Jyväskylä,illative,['Jyväskylään']
Lahti,illative,['Lahteen']
Seinäjoki,allative,['Seinäjoelle']
Porvoo,illative,['Porvooseen']
Vaasa,illative,['Vaasaan']
Pori,illative,['Poriin']
Kotka,illative,['Kotkaan']
Salo,illative,['Saloon']
Lappeenranta,illative,['Lappeenrantaan']
Kuopio,illative,['Kuopioon']
Joensuu,illative,['Joensuuhun']
Mikkeli,illative,['Mikkeliin']
Kokkola,illative,['Kokkolaan']
Kajaani,illative,['Kajaaniin']
