base_word,animacy,case,plurality,inflection
sotilas,HUM,NOM,SG,['sotilas']
sotilas,HUM,NOM,PL,['sotilaat']
sotilas,HUM,ACC,SG,['sotilas']
sotilas,HUM,ACC,PL,['sotilaat']
sotilas,HUM,GEN,SG,['sotilaan']
sotilas,HUM,GEN,PL,['sotilaiden']
sotilas,HUM,PRT,SG,['sotilasta']
sotilas,HUM,PRT,PL,['sotilaita']
sotilas,HUM,FRML,SG,['sotilaana']
sotilas,HUM,FRML,PL,['sotilaina']
sotilas,HUM,TRANS,SG,['sotilaaksi']
sotilas,HUM,TRANS,PL,['sotilaiksi']
ministeri,HUM,NOM,SG,['ministeri']
ministeri,HUM,NOM,PL,['ministerit']
ministeri,HUM,ACC,SG,['ministeri']
ministeri,HUM,ACC,PL,['ministerit']
ministeri,HUM,GEN,SG,['ministerin']
ministeri,HUM,GEN,PL,['ministerien']
ministeri,HUM,PRT,SG,['ministeriä']
ministeri,HUM,PRT,PL,['ministereitä']
ministeri,HUM,FRML,SG,['ministerinä']
ministeri,HUM,FRML,PL,['ministereinä']
ministeri,HUM,TRANS,SG,['ministeriksi']
ministeri,HUM,TRANS,PL,['ministereiksi']
kuningas,HUM,NOM,SG,['kuningas']
kuningas,HUM,NOM,PL,['kuninkaat']
kuningas,HUM,ACC,SG,['kuningas']
kuningas,HUM,ACC,PL,['kuninkaat']
kuningas,HUM,GEN,SG,['kuninkaan']
kuningas,HUM,GEN,PL,['kuninkaiden']
kuningas,HUM,PRT,SG,['kuningasta']
kuningas,HUM,PRT,PL,['kuninkaita']
kuningas,HUM,FRML,SG,['kuninkaana']
kuningas,HUM,FRML,PL,['kuninkaina']
kuningas,HUM,TRANS,SG,['kuninkaaksi']
kuningas,HUM,TRANS,PL,['kuninkaiksi']
presidentti,HUM,NOM,SG,['presidentti']
presidentti,HUM,NOM,PL,['presidentit']
presidentti,HUM,ACC,SG,['presidentti']
presidentti,HUM,ACC,PL,['presidentit']
presidentti,HUM,GEN,SG,['presidentin']
presidentti,HUM,GEN,PL,['presidenttien']
presidentti,HUM,PRT,SG,['presidenttiä']
presidentti,HUM,PRT,PL,['presidenttejä']
presidentti,HUM,FRML,SG,['presidenttinä']
presidentti,HUM,FRML,PL,['presidentteinä']
presidentti,HUM,TRANS,SG,['presidentiksi']
presidentti,HUM,TRANS,PL,['presidenteiksi']
kirjailija,HUM,NOM,SG,['kirjailija']
kirjailija,HUM,NOM,PL,['kirjailijat']
kirjailija,HUM,ACC,SG,['kirjailija']
kirjailija,HUM,ACC,PL,['kirjailijat']
kirjailija,HUM,GEN,SG,['kirjailijan']
kirjailija,HUM,GEN,PL,['kirjailijoiden']
kirjailija,HUM,PRT,SG,['kirjailijaa']
kirjailija,HUM,PRT,PL,['kirjailijoita']
kirjailija,HUM,FRML,SG,['kirjailijana']
kirjailija,HUM,FRML,PL,['kirjailijoina']
kirjailija,HUM,TRANS,SG,['kirjailijaksi']
kirjailija,HUM,TRANS,PL,['kirjailijoiksi']
johtaja,HUM,NOM,SG,['johtaja']
johtaja,HUM,NOM,PL,['johtajat']
johtaja,HUM,ACC,SG,['johtaja']
johtaja,HUM,ACC,PL,['johtajat']
johtaja,HUM,GEN,SG,['johtajan']
johtaja,HUM,GEN,PL,['johtajien']
johtaja,HUM,PRT,SG,['johtajaa']
johtaja,HUM,PRT,PL,['johtajia']
johtaja,HUM,FRML,SG,['johtajana']
johtaja,HUM,FRML,PL,['johtajina']
johtaja,HUM,TRANS,SG,['johtajaksi']
johtaja,HUM,TRANS,PL,['johtajiksi']
ruhtinas,HUM,NOM,SG,['ruhtinas']
ruhtinas,HUM,NOM,PL,['ruhtinaat']
ruhtinas,HUM,ACC,SG,['ruhtinas']
ruhtinas,HUM,ACC,PL,['ruhtinaat']
