base_word,voice,mood,person,tense,plurality,inflection
lukea,ACT,IND,3,PRS,SG,['lukee']
lukea,ACT,IND,3,PRS,PL,['lukevat']
lukea,ACT,IND,3,PST,SG,['luki']
lukea,ACT,IND,3,PST,PL,['lukivat']
kirjoittaa,ACT,IND,3,PRS,SG,['kirjoittaa']
kirjoittaa,ACT,IND,3,PRS,PL,['kirjoittavat']
kirjoittaa,ACT,IND,3,PST,SG,['kirjoitti']
kirjoittaa,ACT,IND,3,PST,PL,['kirjoittivat']
oppia,ACT,IND,3,PRS,SG,['oppii']
oppia,ACT,IND,3,PRS,PL,['oppivat']
oppia,ACT,IND,3,PST,SG,['oppi']
oppia,ACT,IND,3,PST,PL,['oppivat']
istua,ACT,IND,3,PRS,SG,['istuu']
istua,ACT,IND,3,PRS,PL,['istuvat']
istua,ACT,IND,3,PST,SG,['istui']
istua,ACT,IND,3,PST,PL,['istuivat']
nousta,ACT,IND,3,PRS,SG,['nousee']
nousta,ACT,IND,3,PRS,PL,['nousevat']
nousta,ACT,IND,3,PST,SG,['nousi']
nousta,ACT,IND,3,PST,PL,['nousivat']
odottaa,ACT,IND,3,PRS,SG,['odottaa']
odottaa,ACT,IND,3,PRS,PL,['odottavat']
odottaa,ACT,IND,3,PST,SG,['odotti']
odottaa,ACT,IND,3,PST,PL,['odottivat']
kuulla,ACT,IND,3,PRS,SG,['kuulee']
kuulla,ACT,IND,3,PRS,PL,['kuulevat']
kuulla,ACT,IND,3,PST,SG,['kuuli']
kuulla,ACT,IND,3,PST,PL,['kuulivat']
kävellä,ACT,IND,3,PRS,SG,['kävelee']
kävellä,ACT,IND,3,PRS,PL,['kävelevät']
kävellä,ACT,IND,3,PST,SG,['käveli']
kävellä,ACT,IND,3,PST,PL,['kävelivät']
puhua,ACT,IND,3,PRS,SG,['puhuu']
puhua,ACT,IND,3,PRS,PL,['puhuvat']
puhua,ACT,IND,3,PST,SG,['puhui']
puhua,ACT,IND,3,PST,PL,['puhuivat']
avata,ACT,IND,3,PRS,SG,['avaa']
avata,ACT,IND,3,PRS,PL,['avaavat']
avata,ACT,IND,3,PST,SG,['avasi']
avata,ACT,IND,3,PST,PL,['avasivat']
sulkea,ACT,IND,3,PRS,SG,['sulkee']
sulkea,ACT,IND,3,PRS,PL,['sulkevat']
sulkea,ACT,IND,3,PST,SG,['sulki']
sulkea,ACT,IND,3,PST,PL,['sulkivat']
auttaa,ACT,IND,3,PRS,SG,['auttaa']
auttaa,ACT,IND,3,PRS,PL,['auttavat']
auttaa,ACT,IND,3,PST,SG,['auttoi']
auttaa,ACT,IND,3,PST,PL,['auttoivat']
muistaa,ACT,IND,3,PRS,SG,['muistaa']
muistaa,ACT,IND,3,PRS,PL,['muistavat']
muistaa,ACT,IND,3,PST,SG,['muisti']
muistaa,ACT,IND,3,PST,PL,['muistivat']
etsiä,ACT,IND,3,PRS,SG,['etsii']
etsiä,ACT,IND,3,PRS,PL,['etsivät']
etsiä,ACT,IND,3,PST,SG,['etsi']
etsiä,ACT,IND,3,PST,PL,['etsivät']
juoda,ACT,IND,3,PRS,SG,['juo']
juoda,ACT,IND,3,PRS,PL,['juovat']
juoda,ACT,IND,3,PST,SG,['joi']
juoda,ACT,IND,3,PST,PL,['joivat']
syödä,ACT,IND,3,PRS,SG,['syö']
syödä,ACT,IND,3,PRS,PL,['syövät']
syödä,ACT,IND,3,PST,SG,['söi']
syödä,ACT,IND,3,PST,PL,['söivät']
mennä,ACT,IND,3,PRS,SG,['menee']
mennä,ACT,IND,3,PRS,PL,['menevät']
mennä,ACT,IND,3,PST,SG,['meni']
mennä,ACT,IND,3,PST,PL,['menivät']
palata,ACT,IND,3,PRS,SG,['palaa']
palata,ACT,IND,3,PRS,PL,['palaavat']
palata,ACT,IND,3,PST,SG,['palasi']
palata,ACT,IND,3,PST,PL,['palasivat']
tuoda,ACT,IND,3,PRS,SG,['tuo']
tuoda,ACT,IND,3,PRS,PL,['tuovat']
tuoda,ACT,IND,3,PST,SG,['toi']
tuoda,ACT,IND,3,PST,PL,['toivat']
nukkua,ACT,IND,3,PRS,SG,['nukkuu']
nukkua,ACT,IND,3,PRS,PL,['nukkuvat']
nukkua,ACT,IND,3,PST,SG,['nukkui']
nukkua,ACT,IND,3,PST,PL,['nukkuivat']
puhua,ACT,IMP,2,PRS,SG,['puhu']
puhua,ACT,IMP,2,PRS,PL,['puhukaa']
tehdä,ACT,IMP,2,PRS,SG,['tee']
tehdä,ACT,IMP,2,PRS,PL,['tehkää']
ottaa,ACT,IMP,2,PRS,SG,['ota']
ottaa,ACT,IMP,2,PRS,PL,['ottakaa']
mennä,ACT,IMP,2,PRS,SG,['mene']
mennä,ACT,IMP,2,PRS,PL,['menkää']
avata,ACT,IMP,2,PRS,SG,['avaa']
avata,ACT,IMP,2,PRS,PL,['avatkaa']
tietää,ACT,IMP,2,PRS,SG,['tiedä']
tietää,ACT,IMP,2,PRS,PL,['tietäkää']
lukea,ACT,IMP,2,PRS,SG,['lue']
lukea,ACT,IMP,2,PRS,PL,['lukekaa']
syödä,ACT,IMP,2,PRS,SG,['syö']
syödä,ACT,IMP,2,PRS,PL,['syökää']
kysyä,ACT,IMP,2,PRS,SG,['kysy']
kysyä,ACT,IMP,2,PRS,PL,['kysykää']
palata,ACT,IMP,2,PRS,SG,['palaa']
palata,ACT,IMP,2,PRS,PL,['palatkaa']
seisoa,ACT,IMP,2,PRS,SG,['seiso']
seisoa,ACT,IMP,2,PRS,PL,['seisokaa']
