base_word,animacy,gender,plurality,inflection
חדש,HUM,MASC,SG,['חדש']
חדש,HUM,FEM,SG,['חדשה']
חדש,HUM,MASC,PL,['חדשים']
חדש,HUM,FEM,PL,['חדשות']
ישן,HUM,MASC,SG,['ישן']
ישן,HUM,FEM,SG,['ישנה']
ישן,HUM,MASC,PL,['ישנים']
ישן,HUM,FEM,PL,['ישנות']
גבוה,HUM,MASC,SG,['גבוה']
גבוה,HUM,FEM,SG,['גבוהה']
גבוה,HUM,MASC,PL,['גבוהים']
גבוה,HUM,FEM,PL,['גבוהות']
מותח,HUM,MASC,SG,['מותח']
מותח,HUM,FEM,SG,['מותחת']
מותח,HUM,MASC,PL,['מותחים']
מותח,HUM,FEM,PL,['מותחות']
יפה,HUM,MASC,SG,['יפה']
יפה,HUM,FEM,SG,['יפה']
יפה,HUM,MASC,PL,['יפים']
יפה,HUM,FEM,PL,['יפות']
חשוב,HUM,MASC,SG,['חשוב']
חשוב,HUM,FEM,SG,['חשובה']
חשוב,HUM,MASC,PL,['חשובים']
חשוב,HUM,FEM,PL,['חשובות']
עמיד,HUM,MASC,SG,['עמיד']
עמיד,HUM,FEM,SG,['עמידה']
עמיד,HUM,MASC,PL,['עמידים']
עמיד,HUM,FEM,PL,['עמידות']
נהדר,HUM,MASC,SG,['נהדר']
נהדר,HUM,FEM,SG,['נהדרת']
נהדר,HUM,MASC,PL,['נהדרים']
נהדר,HUM,FEM,PL,['נהדרות']
שמח,HUM,MASC,SG,['שמח']
שמח,HUM,FEM,SG,['שמחה']
שמח,HUM,MASC,PL,['שמחים']
שמח,HUM,FEM,PL,['שמחות']
מקצועי,HUM,MASC,SG,['מקצועי']
מקצועי,HUM,FEM,SG,['מקצועית']
מקצועי,HUM,MASC,PL,['מקצועיים']
מקצועי,HUM,FEM,PL,['מקצועיות']
עשיר,HUM,MASC,SG,['עשיר']
עשיר,HUM,FEM,SG,['עשירה']
עשיר,HUM,MASC,PL,['עשירים']
עשיר,HUM,FEM,PL,['עשירות']
צנוע,HUM,MASC,SG,['צנוע']
צנוע,HUM,FEM,SG,['צנועה']
צנוע,HUM,MASC,PL,['צנועים']
צנוע,HUM,FEM,PL,['צנועות']
עני,HUM,MASC,SG,['עני']
עני,HUM,FEM,SG,['ענייה']
עני,HUM,MASC,PL,['עניים']
עני,HUM,FEM,PL,['עניות']
חדש,NHUM,MASC,SG,['חדש']
חדש,NHUM,FEM,SG,['חדשה']
חדש,NHUM,MASC,PL,['חדשים']
חדש,NHUM,FEM,PL,['חדשות']
גדול,NHUM,MASC,SG,['גדול']
גדול,NHUM,FEM,SG,['גדולה']
גדול,NHUM,MASC,PL,['גדולים']
גדול,NHUM,FEM,PL,['גדולות']
קטן,NHUM,MASC,SG,['קטן']
קטן,NHUM,FEM,SG,['קטנה']
קטן,NHUM,MASC,PL,['קטנים']
קטן,NHUM,FEM,PL,['קטנות']
יפה,NHUM,MASC,SG,['יפה']
יפה,NHUM,FEM,SG,['יפה']
יפה,NHUM,MASC,PL,['יפים']
יפה,NHUM,FEM,PL,['יפות']
ישן,NHUM,MASC,SG,['ישן']
ישן,NHUM,FEM,SG,['ישנה']
ישן,NHUM,MASC,PL,['ישנים']
ישן,NHUM,FEM,PL,['ישנות']
חשוב,NHUM,MASC,SG,['חשוב']
חשוב,NHUM,FEM,SG,['חשובה']
חשוב,NHUM,MASC,PL,['חשובים']
חשוב,NHUM,FEM,PL,['חשובות']
עמיד,NHUM,MASC,SG,['עמיד']
עמיד,NHUM,FEM,SG,['עמידה']
עמיד,NHUM,MASC,PL,['עמידים']
עמיד,NHUM,FEM,PL,['עמידות']
נהדר,NHUM,MASC,SG,['נהדר']
נהדר,NHUM,FEM,SG,['נהדרת']
נהדר,NHUM,MASC,PL,['נהדרים']
נהדר,NHUM,FEM,PL,['נהדרות']
מרהיב,NHUM,MASC,SG,['מרהיב']
מרהיב,NHUM,FEM,SG,['מרהיבה']
מרהיב,NHUM,MASC,PL,['מרהיבים']
מרהיב,NHUM,FEM,PL,['מרהיבות']
ארכיאולוגי,NHUM,MASC,SG,['ארכיאולוגי']
ארכיאולוגי,NHUM,FEM,SG,['ארכיאולוגית']
ארכיאולוגי,NHUM,MASC,PL,['ארכיאולוגיים']
ארכיאולוגי,NHUM,FEM,PL,['ארכיאולוגיות']
גבוה,NHUM,MASC,SG,['גבוה']
גבוה,NHUM,FEM,SG,['גבוהה']
גבוה,NHUM,MASC,PL,['גבוהים']
גבוה,NHUM,FEM,PL,['גבוהות']
מכוער,NHUM,MASC,SG,['מכוער']
מכוער,NHUM,FEM,SG,['מכוערת']
מכוער,NHUM,MASC,PL,['מכוערים']
מכוער,NHUM,FEM,PL,['מכוערות']
נמוך,NHUM,MASC,SG,['נמוך']
נמוך,NHUM,FEM,SG,['נמוכה']
נמוך,NHUM,MASC,PL,['נמוכים']
נמוך,NHUM,FEM,PL,['נמוכות']
