base_word,animacy,gender,plurality,inflection
איש,HUM,MASC,SG,['איש']
איש,HUM,MASC,PL,['אנשים']
גברת,HUM,FEM,SG,['גברת']
גברת,HUM,FEM,PL,['גברות']
רופא,HUM,MASC,SG,['רופא']
רופא,HUM,MASC,PL,['רופאים']
אחות,HUM,FEM,SG,['אחות']
אחות,HUM,FEM,PL,['אחיות']
תלמיד,HUM,MASC,SG,['תלמיד']
תלמיד,HUM,MASC,PL,['תלמידים']
תלמידה,HUM,FEM,SG,['תלמידה']
תלמידה,HUM,FEM,PL,['תלמידות']
שחקן,HUM,MASC,SG,['שחקן']
שחקן,HUM,MASC,PL,['שחקנים']
סופר,HUM,MASC,SG,['סופר']
סופר,HUM,MASC,PL,['סופרים']
צייר,HUM,MASC,SG,['צייר']
צייר,HUM,MASC,PL,['ציירים']
נזירה,HUM,FEM,SG,['נזירה']
נזירה,HUM,FEM,PL,['נזירות']
פקיד,HUM,MASC,SG,['פקיד']
פקיד,HUM,MASC,PL,['פקידים']
פקידה,HUM,FEM,SG,['פקידה']
פקידה,HUM,FEM,PL,['פקידות']
עיתונאי,HUM,MASC,SG,['עיתונאי']
עיתונאי,HUM,MASC,PL,['עיתונאים']
עיתונאית,HUM,FEM,SG,['עיתונאית']
עיתונאית,HUM,FEM,PL,['עיתונאיות']
