base_word,voice,mood,person,tense,gender,plurality,inflection
לקרוא,ACT,IND,3.0,PST,MASC,SG,['קרא']
לקרוא,ACT,IND,3.0,PST,FEM,SG,['קראה']
לקרוא,ACT,IND,3.0,PST,MASC,PL,['קראו']
לקרוא,ACT,IND,3.0,PST,FEM,PL,['קראו']
לקרוא,ACT,IND,3.0,PRS,MASC,SG,['קורא']
לקרוא,ACT,IND,3.0,PRS,FEM,SG,['קוראת']
לקרוא,ACT,IND,3.0,PRS,MASC,PL,['קוראים']
לקרוא,ACT,IND,3.0,PRS,FEM,PL,['קוראות']
לכתוב,ACT,IND,3.0,PST,MASC,SG,['כתב']
לכתוב,ACT,IND,3.0,PST,FEM,SG,['כתבה']
לכתוב,ACT,IND,3.0,PST,MASC,PL,['כתבו']
לכתוב,ACT,IND,3.0,PST,FEM,PL,['כתבו']
לכתוב,ACT,IND,3.0,PRS,MASC,SG,['כותב']
לכתוב,ACT,IND,3.0,PRS,FEM,SG,['כותבת']
לכתוב,ACT,IND,3.0,PRS,MASC,PL,['כותבים']
לכתוב,ACT,IND,3.0,PRS,FEM,PL,['כותבות']
ללמוד,ACT,IND,3.0,PST,MASC,SG,['למד']
ללמוד,ACT,IND,3.0,PST,FEM,SG,['למדה']
ללמוד,ACT,IND,3.0,PST,MASC,PL,['למדו']
ללמוד,ACT,IND,3.0,PST,FEM,PL,['למדו']
ללמוד,ACT,IND,3.0,PRS,MASC,SG,['לומד']
ללמוד,ACT,IND,3.0,PRS,FEM,SG,['לומדת']
ללמוד,ACT,IND,3.0,PRS,MASC,PL,['לומדים']
ללמוד,ACT,IND,3.0,PRS,FEM,PL,['לומדות']
לשבת,ACT,IND,3.0,PST,MASC,SG,['ישב']
לשבת,ACT,IND,3.0,PST,FEM,SG,['ישבה']
לשבת,ACT,IND,3.0,PST,MASC,PL,['ישבו']
לשבת,ACT,IND,3.0,PST,FEM,PL,['ישבו']
לשבת,ACT,IND,3.0,PRS,MASC,SG,['יושב']
לשבת,ACT,IND,3.0,PRS,FEM,SG,['יושבת']
לשבת,ACT,IND,3.0,PRS,MASC,PL,['יושבים']
לשבת,ACT,IND,3.0,PRS,FEM,PL,['יושבות']
לקום,ACT,IND,3.0,PST,MASC,SG,['קם']
לקום,ACT,IND,3.0,PST,FEM,SG,['קמה']
לקום,ACT,IND,3.0,PST,MASC,PL,['קמו']
לקום,ACT,IND,3.0,PST,FEM,PL,['קמו']
לקום,ACT,IND,3.0,PRS,MASC,SG,['קם']
לקום,ACT,IND,3.0,PRS,FEM,SG,['קמה']
לקום,ACT,IND,3.0,PRS,MASC,PL,['קמים']
לקום,ACT,IND,3.0,PRS,FEM,PL,['קמות']
לשמוע,ACT,IND,3.0,PST,MASC,SG,['שמע']
לשמוע,ACT,IND,3.0,PST,FEM,SG,['שמעה']
לשמוע,ACT,IND,3.0,PST,MASC,PL,['שמעו']
לשמוע,ACT,IND,3.0,PST,FEM,PL,['שמעו']
לשמוע,ACT,IND,3.0,PRS,MASC,SG,['שומע']
לשמוע,ACT,IND,3.0,PRS,FEM,SG,['שומעת']
לשמוע,ACT,IND,3.0,PRS,MASC,PL,['שומעים']
לשמוע,ACT,IND,3.0,PRS,FEM,PL,['שומעות']
ללכת,ACT,IND,3.0,PST,MASC,SG,['הלך']
ללכת,ACT,IND,3.0,PST,FEM,SG,['הלכה']
ללכת,ACT,IND,3.0,PST,MASC,PL,['הלכו']
ללכת,ACT,IND,3.0,PST,FEM,PL,['הלכו']
ללכת,ACT,IND,3.0,PRS,MASC,SG,['הולך']
ללכת,ACT,IND,3.0,PRS,FEM,SG,['הולכת']
ללכת,ACT,IND,3.0,PRS,MASC,PL,['הולכים']
ללכת,ACT,IND,3.0,PRS,FEM,PL,['הולכות']
לדבר,ACT,IND,3.0,PST,MASC,SG,['דיבר']
לדבר,ACT,IND,3.0,PST,FEM,SG,['דיברה']
לדבר,ACT,IND,3.0,PST,MASC,PL,['דיברו']
לדבר,ACT,IND,3.0,PST,FEM,PL,['דיברו']
לדבר,ACT,IND,3.0,PRS,MASC,SG,['מדבר']
לדבר,ACT,IND,3.0,PRS,FEM,SG,['מדברת']
לדבר,ACT,IND,3.0,PRS,MASC,PL,['מדברים']
לדבר,ACT,IND,3.0,PRS,FEM,PL,['מדברות']
לפתוח,ACT,IND,3.0,PST,MASC,SG,['פתח']
לפתוח,ACT,IND,3.0,PST,FEM,SG,['פתחה']
לפתוח,ACT,IND,3.0,PST,MASC,PL,['פתחו']
לפתוח,ACT,IND,3.0,PST,FEM,PL,['פתחו']
לפתוח,ACT,IND,3.0,PRS,MASC,SG,['פותח']
לפתוח,ACT,IND,3.0,PRS,FEM,SG,['פותחת']
לפתוח,ACT,IND,3.0,PRS,MASC,PL,['פותחים']
לפתוח,ACT,IND,3.0,PRS,FEM,PL,['פותחות']
לסגור,ACT,IND,3.0,PST,MASC,SG,['סגר']
לסגור,ACT,IND,3.0,PST,FEM,SG,['סגרה']
לסגור,ACT,IND,3.0,PST,MASC,PL,['סגרו']
לסגור,ACT,IND,3.0,PST,FEM,PL,['סגרו']
לסגור,ACT,IND,3.0,PRS,MASC,SG,['סוגר']
לסגור,ACT,IND,3.0,PRS,FEM,SG,['סוגרת']
לסגור,ACT,IND,3.0,PRS,MASC,PL,['סוגרים']
לסגור,ACT,IND,3.0,PRS,FEM,PL,['סוגרות']
לעזור,ACT,IND,3.0,PST,MASC,SG,['עזר']
לעזור,ACT,IND,3.0,PST,FEM,SG,['עזרה']
לעזור,ACT,IND,3.0,PST,MASC,PL,['עזרו']
לעזור,ACT,IND,3.0,PST,FEM,PL,['עזרו']
לעזור,ACT,IND,3.0,PRS,MASC,SG,['עוזר']
לעזור,ACT,IND,3.0,PRS,FEM,SG,['עוזרת']
לעזור,ACT,IND,3.0,PRS,MASC,PL,['עוזרים']
לעזור,ACT,IND,3.0,PRS,FEM,PL,['עוזרות']
לשמור,ACT,IND,3.0,PST,MASC,SG,['שמר']
לשמור,ACT,IND,3.0,PST,FEM,SG,['שמרה']
לשמור,ACT,IND,3.0,PST,MASC,PL,['שמרו']
לשמור,ACT,IND,3.0,PST,FEM,PL,['שמרו']
לשמור,ACT,IND,3.0,PRS,MASC,SG,['שומר']
לשמור,ACT,IND,3.0,PRS,FEM,SG,['שומרת']
לשמור,ACT,IND,3.0,PRS,MASC,PL,['שומרים']
לשמור,ACT,IND,3.0,PRS,FEM,PL,['שומרות']
לחפש,ACT,IND,3.0,PST,MASC,SG,['חיפש']
לחפש,ACT,IND,3.0,PST,FEM,SG,['חיפשה']
לחפש,ACT,IND,3.0,PST,MASC,PL,['חיפשו']
לחפש,ACT,IND,3.0,PST,FEM,PL,['חיפשו']
לחפש,ACT,IND,3.0,PRS,MASC,SG,['מחפש']
לחפש,ACT,IND,3.0,PRS,FEM,SG,['מחפשת']
לחפש,ACT,IND,3.0,PRS,MASC,PL,['מחפשים']
לחפש,ACT,IND,3.0,PRS,FEM,PL,['מחפשות']
לשתות,ACT,IND,3.0,PST,MASC,SG,['שתה']
לשתות,ACT,IND,3.0,PST,FEM,SG,['שתתה']
לשתות,ACT,IND,3.0,PST,MASC,PL,['שתו']
לשתות,ACT,IND,3.0,PST,FEM,PL,['שתו']
לשתות,ACT,IND,3.0,PRS,MASC,SG,['שותה']
לשתות,ACT,IND,3.0,PRS,FEM,SG,['שותה']
לשתות,ACT,IND,3.0,PRS,MASC,PL,['שותים']
לשתות,ACT,IND,3.0,PRS,FEM,PL,['שותות']
לאכול,ACT,IND,3.0,PST,MASC,SG,['אכל']
לאכול,ACT,IND,3.0,PST,FEM,SG,['אכלה']
לאכול,ACT,IND,3.0,PST,MASC,PL,['אכלו']
לאכול,ACT,IND,3.0,PST,FEM,PL,['אכלו']
לאכול,ACT,IND,3.0,PRS,MASC,SG,['אוכל']
לאכול,ACT,IND,3.0,PRS,FEM,SG,['אוכלת']
לאכול,ACT,IND,3.0,PRS,MASC,PL,['אוכלים']
לאכול,ACT,IND,3.0,PRS,FEM,PL,['אוכלות']
לצאת,ACT,IND,3.0,PST,MASC,SG,['יצא']
לצאת,ACT,IND,3.0,PST,FEM,SG,['יצאה']
לצאת,ACT,IND,3.0,PST,MASC,PL,['יצאו']
לצאת,ACT,IND,3.0,PST,FEM,PL,['יצאו']
לצאת,ACT,IND,3.0,PRS,MASC,SG,['יוצא']
לצאת,ACT,IND,3.0,PRS,FEM,SG,['יוצאת']
לצאת,ACT,IND,3.0,PRS,MASC,PL,['יוצאים']
לצאת,ACT,IND,3.0,PRS,FEM,PL,['יוצאות']
