name,gender
Алексей,MASC
Дмитрий,MASC
Иван,MASC
Сергей,MASC
Андрей,MASC
Владимир,MASC
Александр,MASC
Артем,MASC
Николай,MASC
Михаил,MASC
Павел,MASC
Виктор,MASC
Евгений,MASC
Константин,MASC
Роман,MASC
Олег,MASC
Денис,MASC
Борис,MASC
Вячеслав,MASC
Василий,MASC
Игорь,MASC
Юрий,MASC
Кирилл,MASC
Валерий,MASC
Алекс,MASC
Анна,FEM
Мария,FEM
Екатерина,FEM
Ирина,FEM
Наталья,FEM
Ольга,FEM
Елена,FEM
Светлана,FEM
Дарья,FEM
Татьяна,FEM
Людмила,FEM
Валентина,FEM
Виктория,FEM
Олеся,FEM
Ксения,FEM
Алёна,FEM
Лариса,FEM
Галина,FEM
Вера,FEM
Яна,FEM
Карина,FEM
Ирина,FEM
Надежда,FEM
София,FEM
Зинаида,FEM
Римма,FEM
