base_word,case,plurality,inflection
солдат,ACC,SG,['солдата']
солдат,NOM,SG,['солдат']
солдат,NOM,PL,['солдаты']
солдат,GEN,SG,['солдата']
солдат,GEN,PL,['солдат']
солдат,DAT,SG,['солдату']
солдат,DAT,PL,['солдатам']
солдат,INS,SG,['солдатом']
солдат,INS,PL,['солдатами']
солдат,ESS,SG,['солдате']
солдат,ESS,PL,['солдатах']
министр,ACC,SG,['министра']
министр,NOM,SG,['министр']
министр,NOM,PL,['министры']
министр,GEN,SG,['министра']
министр,GEN,PL,['министров']
министр,DAT,SG,['министру']
министр,DAT,PL,['министрам']
министр,INS,SG,['министром']
министр,INS,PL,['министрами']
министр,ESS,SG,['министре']
министр,ESS,PL,['министрах']
торговец,ACC,SG,['торговца']
торговец,ACC,PL,['торговцев']
торговец,NOM,SG,['торговец']
торговец,NOM,PL,['торговцы']
торговец,GEN,SG,['торговца']
торговец,GEN,PL,['торговцев']
торговец,DAT,SG,['торговцу']
торговец,DAT,PL,['торговцам']
торговец,INS,SG,['торговцем']
торговец,INS,PL,['торговцами']
торговец,ESS,SG,['торговце']
торговец,ESS,PL,['торговцах']
президент,ACC,SG,['президента']
президент,NOM,SG,['президент']
президент,NOM,PL,['президенты']
президент,GEN,SG,['президента']
президент,GEN,PL,['президентов']
президент,DAT,SG,['президенту']
президент,DAT,PL,['президентам']
президент,INS,SG,['президентом']
президент,INS,PL,['президентами']
президент,ESS,SG,['президенте']
президент,ESS,PL,['президентах']
депутат,ACC,SG,['депутата']
депутат,NOM,SG,['депутат']
депутат,NOM,PL,['депутаты']
депутат,GEN,SG,['депутата']
депутат,GEN,PL,['депутатов']
депутат,DAT,SG,['депутату']
депутат,DAT,PL,['депутатам']
депутат,INS,SG,['депутатом']
депутат,INS,PL,['депутатами']
депутат,ESS,SG,['депутате']
депутат,ESS,PL,['депутатах']
писатель,ACC,SG,['писателя']
писатель,NOM,SG,['писатель']
писатель,NOM,PL,['писатели']
писатель,GEN,SG,['писателя']
писатель,GEN,PL,['писателей']
писатель,DAT,SG,['писателю']
писатель,DAT,PL,['писателям']
писатель,INS,SG,['писателем']
писатель,INS,PL,['писателями']
писатель,ESS,SG,['писателе']
писатель,ESS,PL,['писателях']
лидер,ACC,SG,['лидера']
лидер,NOM,SG,['лидер']
лидер,NOM,PL,['лидеры']
лидер,GEN,SG,['лидера']
лидер,GEN,PL,['лидеров']
лидер,DAT,SG,['лидеру']
лидер,DAT,PL,['лидерам']
лидер,INS,SG,['лидером']
лидер,INS,PL,['лидерами']
лидер,ESS,SG,['лидере']
лидер,ESS,PL,['лидерах']
член,NOM,SG,['член']
член,NOM,PL,['члены']
член,GEN,SG,['члена']
член,GEN,PL,['членов']
член,DAT,SG,['члену']
член,DAT,PL,['членам']
член,INS,SG,['членом']
член,INS,PL,['членами']
член,ESS,SG,['члене']
член,ESS,PL,['членах']
основатель,ACC,SG,['основателя']
основатель,ACC,PL,['основателей']
основатель,NOM,SG,['основатель']
основатель,NOM,PL,['основатели']
