base_word,case,inflection,preposition
магазин,ACC,['магазин'],в
школа,ACC,['школу'],в
работа,ACC,['работу'],на
дом,ACC,['домой'], 
улица,ACC,['улицу'],на
парк,ACC,['парк'],в
ресторан,ACC,['ресторан'],в
кино,ACC,['кино'],в
больница,ACC,['больницу'],в
банк,ACC,['банк'],в
почта,ACC,['почту'],на
площадь,ACC,['площадь'],на
театр,ACC,['театр'],в
клуб,ACC,['клуб'],в
музей,ACC,['музей'],в
магазин одежды,ACC,['магазин одежды'],в
кафе,ACC,['кафе'],в
библиотека,ACC,['библиотеку'],в
центр,ACC,['центр'],в
вокзал,ACC,['вокзал'],на
аэропорт,ACC,['аэропорт'],в
университет,ACC,['университет'],в
пляж,ACC,['пляж'],на
гостиница,ACC,['гостиницу'],в
остановка,ACC,['остановку'],на
сад,ACC,['сад'],в
фитнес-клуб,ACC,['фитнес-клуб'],в
