base_word,mood,person,plurality,inflection
ждать,IMP,2,SG,['жди']
ждать,IMP,2,PL,['ждите']
гулять,IMP,2,SG,['гуляй']
гулять,IMP,2,PL,['гуляйте']
идти,IMP,2,SG,['иди']
идти,IMP,2,PL,['идите']
играть,IMP,2,SG,['играй']
играть,IMP,2,PL,['играйте']
работать,IMP,2,SG,['работай']
работать,IMP,2,PL,['работайте']
голосовать,IMP,2,SG,['голосуй']
голосовать,IMP,2,PL,['голосуйте']
поглядеть,IMP,2,SG,['погляди']
поглядеть,IMP,2,PL,['поглядите']
искать,IMP,2,SG,['ищи']
искать,IMP,2,PL,['ищите']
прислушиваться,IMP,2,SG,['прислушивайся']
прислушиваться,IMP,2,PL,['прислушивайтесь']
стряпать,IMP,2,SG,['стряпай']
стряпать,IMP,2,PL,['стряпайте']
разрисовывать,IMP,2,SG,['разрисовывай']
разрисовывать,IMP,2,PL,['разрисовывайте']
разгоняться,IMP,2,SG,['разгоняйся']
разгоняться,IMP,2,PL,['разгоняйтесь']
считать,IMP,2,SG,['считай']
считать,IMP,2,PL,['считайте']
откликаться,IMP,2,SG,['откликайся']
откликаться,IMP,2,PL,['откликайтесь']
осведомляться,IMP,2,SG,['осведомляйся']
осведомляться,IMP,2,PL,['осведомляйтесь']
соглашаться,IMP,2,SG,['соглашайся']
соглашаться,IMP,2,PL,['соглашайтесь']
убираться,IMP,2,SG,['убирайся']
убираться,IMP,2,PL,['убирайтесь']
сражаться,IMP,2,SG,['сражайся']
сражаться,IMP,2,PL,['сражайтесь']
