base_word,direction,base_motion_verb,person,plurality,inflection
идти,unidirectional,идти,1,SG,иду
идти,unidirectional,идти,1,PL,идём
идти,multidirectional,ходить,1,SG,хожу
идти,multidirectional,ходить,1,PL,ходим
ехать,unidirectional,ехать,1,SG,еду
ехать,unidirectional,ехать,1,PL,едем
ехать,multidirectional,ездить,1,SG,езжу
ехать,multidirectional,ездить,1,PL,ездим
бежать,unidirectional,бежать,1,SG,бегу
бежать,unidirectional,бежать,1,PL,бежим
бежать,multidirectional,бегать,1,SG,бегаю
бежать,multidirectional,бегать,1,PL,бегаем
лететь,unidirectional,лететь,1,SG,лечу
лететь,unidirectional,лететь,1,PL,летим
лететь,multidirectional,летать,1,SG,летаю
лететь,multidirectional,летать,1,PL,летаем
плыть,unidirectional,плыть,1,SG,плыву
плыть,unidirectional,плыть,1,PL,плывём
плыть,multidirectional,плавать,1,SG,плаваю
плыть,multidirectional,плавать,1,PL,плаваем
ползти,unidirectional,ползти,1,SG,ползу
ползти,unidirectional,ползти,1,PL,ползём
ползти,multidirectional,ползать,1,SG,ползаю
ползти,multidirectional,ползать,1,PL,ползаем
