base_word,tense,animacy,person,plurality,case,inflection
hazır,PRS,HUM,3,SG,NOM,['hazır']
hazır,PRS,HUM,3,PL,NOM,['hazırlar']
huzurlu,PRS,HUM,3,SG,NOM,['huzurlu']
huzurlu,PRS,HUM,3,PL,NOM,['huzurlular']
kıskanç,PRS,HUM,3,SG,NOM,['kıskanç']
kıskanç,PRS,HUM,3,PL,NOM,['kıskançlar']
kızgın,PRS,HUM,3,SG,NOM,['kızgın']
kızgın,PRS,HUM,3,PL,NOM,['kızgınlar']
mantıklı,PRS,HUM,3,SG,NOM,['mantıklı']
mantıklı,PRS,HUM,3,PL,NOM,['mantıklılar']
mantıksız,PRS,HUM,3,SG,NOM,['mantıksız']
mantıksız,PRS,HUM,3,PL,NOM,['mantıksızlar']
masum,PRS,HUM,3,SG,NOM,['masum']
masum,PRS,HUM,3,PL,NOM,['masumlar']
mutsuz,PRS,HUM,3,SG,NOM,['mutsuz']
mutsuz,PRS,HUM,3,PL,NOM,['mutsuzlar']
mükemmel,PRS,HUM,3,SG,NOM,['mükemmel']
mükemmel,PRS,HUM,3,PL,NOM,['mükemmeller']
umutlu,PRS,HUM,3,SG,NOM,['umutlu']
umutlu,PRS,HUM,3,PL,NOM,['umutlular']
umutsuz,PRS,HUM,3,SG,NOM,['umutsuz']
umutsuz,PRS,HUM,3,PL,NOM,['umutsuzlar']
yetenekli,PRS,HUM,3,SG,NOM,['yetenekli']
yetenekli,PRS,HUM,3,PL,NOM,['yetenekliler']
yorgun,PRS,HUM,3,SG,NOM,['yorgun']
yorgun,PRS,HUM,3,PL,NOM,['yorgunlar']
özel,PRS,HUM,3,SG,NOM,['özel']
özel,PRS,HUM,3,PL,NOM,['özeller']
üzgün,PRS,HUM,3,SG,NOM,['üzgün']
üzgün,PRS,HUM,3,PL,NOM,['üzgünler']
atletik,PRS,HUM,3,SG,NOM,['atletik']
atletik,PRS,HUM,3,PL,NOM,['atletikler']
başarılı,PRS,HUM,3,SG,NOM,['başarılı']
başarılı,PRS,HUM,3,PL,NOM,['başarılılar']
becerikli,PRS,HUM,3,SG,NOM,['becerikli']
becerikli,PRS,HUM,3,PL,NOM,['becerikliler']
beceriksiz,PRS,HUM,3,SG,NOM,['beceriksiz']
beceriksiz,PRS,HUM,3,PL,NOM,['beceriksizler']
büyük,PRS,HUM,3,SG,NOM,['büyük']
büyük,PRS,HUM,3,PL,NOM,['büyükler']
coşkulu,PRS,HUM,3,SG,NOM,['coşkulu']
coşkulu,PRS,HUM,3,PL,NOM,['coşkulular']
coşkusuz,PRS,HUM,3,SG,NOM,['coşkusuz']
coşkusuz,PRS,HUM,3,PL,NOM,['coşkusuzlar']
diri,PRS,HUM,3,SG,NOM,['diri']
diri,PRS,HUM,3,PL,NOM,['diriler']
düşünceli,PRS,HUM,3,SG,NOM,['düşünceli']
düşünceli,PRS,HUM,3,PL,NOM,['düşünceliler']
erdemli,PRS,HUM,3,SG,NOM,['erdemli']
erdemli,PRS,HUM,3,PL,NOM,['erdemliler']
hazır,PRS,NHUM,3,SG,NOM,['hazır']
hazır,PRS,NHUM,3,PL,NOM,['hazırlar']
hızlı,PRS,NHUM,3,SG,NOM,['hızlı']
hızlı,PRS,NHUM,3,PL,NOM,['hızlılar']
ilginç,PRS,NHUM,3,SG,NOM,['ilginç']
ilginç,PRS,NHUM,3,PL,NOM,['ilginçler']
küçük,PRS,NHUM,3,SG,NOM,['küçük']
küçük,PRS,NHUM,3,PL,NOM,['küçükler']
acayip,PRS,NHUM,3,SG,NOM,['acayip']
acayip,PRS,NHUM,3,PL,NOM,['acayipler']
sihirli,PRS,NHUM,3,SG,NOM,['sihirli']
sihirli,PRS,NHUM,3,PL,NOM,['sihirliler']
sıradan,PRS,NHUM,3,SG,NOM,['sıradan']
sıradan,PRS,NHUM,3,PL,NOM,['sıradanlar']
yanlış,PRS,NHUM,3,SG,NOM,['yanlış']
yanlış,PRS,NHUM,3,PL,NOM,['yanlışlar']
özel,PRS,NHUM,3,SG,NOM,['özel']
özel,PRS,NHUM,3,PL,NOM,['özeller']
ağır,PRS,NHUM,3,SG,NOM,['ağır']
ağır,PRS,NHUM,3,PL,NOM,['ağırlar']
büyük,PRS,NHUM,3,SG,NOM,['büyük']
büyük,PRS,NHUM,3,PL,NOM,['büyükler']
büyüleyici,PRS,NHUM,3,SG,NOM,['büyüleyici']
büyüleyici,PRS,NHUM,3,PL,NOM,['büyüleyiciler']
büyülü,PRS,NHUM,3,SG,NOM,['büyülü']
büyülü,PRS,NHUM,3,PL,NOM,['büyülüler']
dağınık,PRS,NHUM,3,SG,NOM,['dağınık']
dağınık,PRS,NHUM,3,PL,NOM,['dağınıklar']
esrarengiz,PRS,NHUM,3,SG,NOM,['esrarengiz']
esrarengiz,PRS,NHUM,3,PL,NOM,['esrarengizler']
