name,gender
Ahmet,MASC
Mehmet,MASC
Mustafa,MASC
Ali,MASC
Hasan,MASC
Hüseyin,MASC
İsmail,MASC
Emre,MASC
Murat,MASC
Burak,MASC
Kemal,MASC
Ömer,MASC
Can,MASC
Arda,MASC
Kaan,MASC
Baran,MASC
Halil,MASC
Serkan,MASC
İbrahim,MASC
Yavuz,MASC
Orhan,MASC
Erkan,MASC
Gökhan,MASC
Alper,MASC
Fatih,MASC
Fatma,FEM
Ayşe,FEM
Zeynep,FEM
Elif,FEM
Meryem,FEM
Hatice,FEM
Rabia,FEM
Emine,FEM
Selin,FEM
Aylin,FEM
İrem,FEM
Duygu,FEM
Esra,FEM
Nazlı,FEM
Simge,FEM
Yasemin,FEM
Gül,FEM
Sevim,FEM
Şeyma,FEM
Melis,FEM
Büşra,FEM
Sedef,FEM
Canan,FEM
Kübra,FEM
Asya,FEM
Belgin,FEM
