base_word,animacy,case,plurality,inflection
kapı,NHUM,NOM,SG,['kapı']
kapı,NHUM,NOM,PL,['kapılar']
kapı,NHUM,DAT,SG,['kapıya']
kapı,NHUM,DAT,PL,['kapılara']
kapı,NHUM,ACC,SG,['kapıyı']
kapı,NHUM,ACC,PL,['kapıları']
kapı,NHUM,ABL,SG,['kapıdan']
kapı,NHUM,ABL,PL,['kapılardan']
kapı,NHUM,LOC,SG,['kapıda']
kapı,NHUM,LOC,PL,['kapılarda']
kapı,NHUM,GEN,SG,['kapının']
kapı,NHUM,GEN,PL,['kapıların']
bitki,NHUM,NOM,SG,['bitki']
bitki,NHUM,NOM,PL,['bitkiler']
bitki,NHUM,DAT,SG,['bitkiye']
bitki,NHUM,DAT,PL,['bitkilere']
bitki,NHUM,ACC,SG,['bitkiyi']
bitki,NHUM,ACC,PL,['bitkileri']
bitki,NHUM,ABL,SG,['bitkiden']
bitki,NHUM,ABL,PL,['bitkilerden']
bitki,NHUM,LOC,SG,['bitkide']
bitki,NHUM,LOC,PL,['bitkilerde']
bitki,NHUM,GEN,SG,['bitkinin']
bitki,NHUM,GEN,PL,['bitkilerin']
patates,NHUM,NOM,SG,['patates']
patates,NHUM,NOM,PL,['patatesler']
patates,NHUM,DAT,SG,['patatese']
patates,NHUM,DAT,PL,['patateslere']
patates,NHUM,ACC,SG,['patatesi']
patates,NHUM,ACC,PL,['patatesleri']
patates,NHUM,ABL,SG,['patatesten']
patates,NHUM,ABL,PL,['patateslerden']
patates,NHUM,LOC,SG,['patateste']
patates,NHUM,LOC,PL,['patateslerde']
patates,NHUM,GEN,SG,['patatesin']
patates,NHUM,GEN,PL,['patateslerin']
makine,NHUM,NOM,SG,['makine']
makine,NHUM,NOM,PL,['makineler']
makine,NHUM,DAT,SG,['makineye']
makine,NHUM,DAT,PL,['makinelere']
makine,NHUM,ACC,SG,['makineyi']
makine,NHUM,ACC,PL,['makineleri']
makine,NHUM,ABL,SG,['makineden']
makine,NHUM,ABL,PL,['makinelerden']
makine,NHUM,LOC,SG,['makinede']
makine,NHUM,LOC,PL,['makinelerde']
makine,NHUM,GEN,SG,['makinenin']
makine,NHUM,GEN,PL,['makinelerin']
ülke,NHUM,NOM,SG,['ülke']
ülke,NHUM,NOM,PL,['ülkeler']
ülke,NHUM,DAT,SG,['ülkeye']
ülke,NHUM,DAT,PL,['ülkelere']
ülke,NHUM,ACC,SG,['ülkeyi']
ülke,NHUM,ACC,PL,['ülkeleri']
ülke,NHUM,ABL,SG,['ülkeden']
ülke,NHUM,ABL,PL,['ülkelerden']
ülke,NHUM,LOC,SG,['ülkede']
ülke,NHUM,LOC,PL,['ülkelerde']
ülke,NHUM,GEN,SG,['ülkenin']
