base_word,animacy,case,plurality,inflection
şair,HUM,NOM,SG,['şair']
şair,HUM,NOM,PL,['şairler']
şair,HUM,DAT,SG,['şaire']
şair,HUM,DAT,PL,['şairlere']
şair,HUM,ACC,SG,['şairi']
şair,HUM,ACC,PL,['şairleri']
şair,HUM,ABL,SG,['şairden']
şair,HUM,ABL,PL,['şairlerden']
şair,HUM,LOC,SG,['şairde']
şair,HUM,LOC,PL,['şairlerde']
şair,HUM,GEN,SG,['şairin']
şair,HUM,GEN,PL,['şairlerin']
yazar,HUM,NOM,SG,['yazar']
yazar,HUM,NOM,PL,['yazarlar']
yazar,HUM,DAT,SG,['yazara']
yazar,HUM,DAT,PL,['yazarlara']
yazar,HUM,ACC,SG,['yazarı']
yazar,HUM,ACC,PL,['yazarları']
yazar,HUM,ABL,SG,['yazardan']
yazar,HUM,ABL,PL,['yazarlardan']
yazar,HUM,LOC,SG,['yazarda']
yazar,HUM,LOC,PL,['yazarlarda']
yazar,HUM,GEN,SG,['yazarın']
yazar,HUM,GEN,PL,['yazarların']
tercüman,HUM,NOM,SG,['tercüman']
tercüman,HUM,NOM,PL,['tercümanlar']
tercüman,HUM,DAT,SG,['tercümana']
tercüman,HUM,DAT,PL,['tercümanlara']
tercüman,HUM,ACC,SG,['tercümanı']
tercüman,HUM,ACC,PL,['tercümanları']
tercüman,HUM,ABL,SG,['tercümandan']
tercüman,HUM,ABL,PL,['tercümanlardan']
tercüman,HUM,LOC,SG,['tercümanda']
tercüman,HUM,LOC,PL,['tercümanlarda']
tercüman,HUM,GEN,SG,['tercümanın']
tercüman,HUM,GEN,PL,['tercümanların']
polis,HUM,NOM,SG,['polis']
polis,HUM,NOM,PL,['polisler']
polis,HUM,DAT,SG,['polise']
polis,HUM,DAT,PL,['polislere']
polis,HUM,ACC,SG,['polisi']
polis,HUM,ACC,PL,['polisleri']
polis,HUM,ABL,SG,['polisden']
polis,HUM,ABL,PL,['polislerden']
polis,HUM,LOC,SG,['polisde']
polis,HUM,LOC,PL,['polislerde']
polis,HUM,GEN,SG,['polisin']
polis,HUM,GEN,PL,['polislerin']
terzi,HUM,NOM,SG,['terzi']
terzi,HUM,NOM,PL,['terziler']
terzi,HUM,DAT,SG,['terziye']
terzi,HUM,DAT,PL,['terzilere']
terzi,HUM,ACC,SG,['terziyi']
terzi,HUM,ACC,PL,['terzileri']
terzi,HUM,ABL,SG,['terziden']
terzi,HUM,ABL,PL,['terzilerden']
terzi,HUM,LOC,SG,['terzide']
terzi,HUM,LOC,PL,['terzilerde']
terzi,HUM,GEN,SG,['terzinin']
terzi,HUM,GEN,PL,['terzilerin']
yolcu,HUM,NOM,SG,['yolcu']
yolcu,HUM,NOM,PL,['yolcular']
yolcu,HUM,DAT,SG,['yolcuya']
yolcu,HUM,DAT,PL,['yolculara']
yolcu,HUM,ACC,SG,['yolcuyu']
yolcu,HUM,ACC,PL,['yolcuları']
yolcu,HUM,ABL,SG,['yolcudan']
yolcu,HUM,ABL,PL,['yolculardan']
yolcu,HUM,LOC,SG,['yolcuda']
yolcu,HUM,LOC,PL,['yolcularda']
yolcu,HUM,GEN,SG,['yolcunun']
yolcu,HUM,GEN,PL,['yolcuların']
çalgıç,HUM,NOM,SG,['çalgıç']
çalgıç,HUM,NOM,PL,['çalgıçlar']
çalgıç,HUM,DAT,SG,['çalgıca']
çalgıç,HUM,DAT,PL,['çalgıçlara']
çalgıç,HUM,ACC,SG,['çalgıcı']
çalgıç,HUM,ACC,PL,['çalgıçları']
çalgıç,HUM,ABL,SG,['çalgıçtan']
çalgıç,HUM,ABL,PL,['çalgıçlardan']
çalgıç,HUM,LOC,SG,['çalgıçta']
çalgıç,HUM,LOC,PL,['çalgıçlarda']
çalgıç,HUM,GEN,SG,['çalgıcın']
çalgıç,HUM,GEN,PL,['çalgıçların']
başkan,HUM,NOM,SG,['başkan']
başkan,HUM,NOM,PL,['başkanlar']
başkan,HUM,DAT,SG,['başkana']
başkan,HUM,DAT,PL,['başkanlara']
başkan,HUM,ACC,SG,['başkanı']
başkan,HUM,ACC,PL,['başkanları']
başkan,HUM,ABL,SG,['başkandan']
başkan,HUM,ABL,PL,['başkanlardan']
başkan,HUM,LOC,SG,['başkanda']
başkan,HUM,LOC,PL,['başkanlarda']
başkan,HUM,GEN,SG,['başkanın']
başkan,HUM,GEN,PL,['başkanların']
üye,HUM,NOM,SG,['üye']
üye,HUM,NOM,PL,['üyeler']
üye,HUM,DAT,SG,['üyeye']
üye,HUM,DAT,PL,['üyelere']
üye,HUM,ACC,SG,['üyeyi']
üye,HUM,ACC,PL,['üyeleri']
üye,HUM,ABL,SG,['üyeden']
üye,HUM,ABL,PL,['üyelerden']
üye,HUM,LOC,SG,['üyede']
üye,HUM,LOC,PL,['üyelerde']
üye,HUM,GEN,SG,['üyenin']
üye,HUM,GEN,PL,['üyelerin']
garson,HUM,NOM,SG,['garson']
garson,HUM,NOM,PL,['garsonlar']
garson,HUM,DAT,SG,['garsona']
garson,HUM,DAT,PL,['garsonlara']
garson,HUM,ACC,SG,['garsonu']
garson,HUM,ACC,PL,['garsonları']
garson,HUM,ABL,SG,['garsondan']
garson,HUM,ABL,PL,['garsonlardan']
garson,HUM,LOC,SG,['garsonda']
garson,HUM,LOC,PL,['garsonlarda']
garson,HUM,GEN,SG,['garsonun']
garson,HUM,GEN,PL,['garsonların']
sporcu,HUM,NOM,SG,['sporcu']
sporcu,HUM,NOM,PL,['sporcular']
sporcu,HUM,DAT,SG,['sporcuya']
sporcu,HUM,DAT,PL,['sporculara']
sporcu,HUM,ACC,SG,['sporcuyu']
sporcu,HUM,ACC,PL,['sporcuları']
sporcu,HUM,ABL,SG,['sporcudan']
sporcu,HUM,ABL,PL,['sporculardan']
sporcu,HUM,LOC,SG,['sporcuda']
sporcu,HUM,LOC,PL,['sporcularda']
sporcu,HUM,GEN,SG,['sporcunun']
sporcu,HUM,GEN,PL,['sporcuların']
basketbolcu,HUM,NOM,SG,['basketbolcu']
basketbolcu,HUM,NOM,PL,['basketbolcular']
basketbolcu,HUM,DAT,SG,['basketbolcuya']
basketbolcu,HUM,DAT,PL,['basketbolculara']
basketbolcu,HUM,ACC,SG,['basketbolcuyu']
basketbolcu,HUM,ACC,PL,['basketbolcuları']
basketbolcu,HUM,ABL,SG,['basketbolcudan']
basketbolcu,HUM,ABL,PL,['basketbolculardan']
basketbolcu,HUM,LOC,SG,['basketbolcuda']
basketbolcu,HUM,LOC,PL,['basketbolcularda']
basketbolcu,HUM,GEN,SG,['basketbolcunun']
basketbolcu,HUM,GEN,PL,['basketbolcuların']
psikiyatr,HUM,NOM,SG,['psikiyatr']
psikiyatr,HUM,NOM,PL,['psikiyatrlar']
psikiyatr,HUM,DAT,SG,['psikiyatra']
psikiyatr,HUM,DAT,PL,['psikiyatrlara']
psikiyatr,HUM,ACC,SG,['psikiyatrı']
psikiyatr,HUM,ACC,PL,['psikiyatrları']
psikiyatr,HUM,ABL,SG,['psikiyatrdan']
psikiyatr,HUM,ABL,PL,['psikiyatrlardan']
psikiyatr,HUM,LOC,SG,['psikiyatrda']
psikiyatr,HUM,LOC,PL,['psikiyatrlarda']
psikiyatr,HUM,GEN,SG,['psikiyatrın']
psikiyatr,HUM,GEN,PL,['psikiyatrların']
sekreter,HUM,NOM,SG,['sekreter']
sekreter,HUM,NOM,PL,['sekreterler']
sekreter,HUM,DAT,SG,['sekretere']
sekreter,HUM,DAT,PL,['sekreterlere']
sekreter,HUM,ACC,SG,['sekreteri']
sekreter,HUM,ACC,PL,['sekreterleri']
sekreter,HUM,ABL,SG,['sekreterden']
sekreter,HUM,ABL,PL,['sekreterlerden']
sekreter,HUM,LOC,SG,['sekreterde']
sekreter,HUM,LOC,PL,['sekreterlerde']
sekreter,HUM,GEN,SG,['sekreterin']
sekreter,HUM,GEN,PL,['sekreterlerin']
yardımcı,HUM,NOM,SG,['yardımcı']
yardımcı,HUM,NOM,PL,['yardımcılar']
yardımcı,HUM,DAT,SG,['yardımcıya']
yardımcı,HUM,DAT,PL,['yardımcılara']
yardımcı,HUM,ACC,SG,['yardımcıyı']
yardımcı,HUM,ACC,PL,['yardımcıları']
yardımcı,HUM,ABL,SG,['yardımcıdan']
yardımcı,HUM,ABL,PL,['yardımcılardan']
yardımcı,HUM,LOC,SG,['yardımcıda']
yardımcı,HUM,LOC,PL,['yardımcılarda']
yardımcı,HUM,GEN,SG,['yardımcının']
yardımcı,HUM,GEN,PL,['yardımcıların']
müdür,HUM,NOM,SG,['müdür']
müdür,HUM,NOM,PL,['müdürler']
müdür,HUM,DAT,SG,['müdüre']
müdür,HUM,DAT,PL,['müdürlere']
müdür,HUM,ACC,SG,['müdürü']
müdür,HUM,ACC,PL,['müdürleri']
müdür,HUM,ABL,SG,['müdürden']
müdür,HUM,ABL,PL,['müdürlerden']
müdür,HUM,LOC,SG,['müdürde']
müdür,HUM,LOC,PL,['müdürlerde']
müdür,HUM,GEN,SG,['müdürün']
müdür,HUM,GEN,PL,['müdürlerin']
savaşçı,HUM,NOM,SG,['savaşçı']
savaşçı,HUM,NOM,PL,['savaşçılar']
savaşçı,HUM,DAT,SG,['savaşçıya']
savaşçı,HUM,DAT,PL,['savaşçılara']
savaşçı,HUM,ACC,SG,['savaşçıyı']
savaşçı,HUM,ACC,PL,['savaşçıları']
savaşçı,HUM,ABL,SG,['savaşçıdan']
savaşçı,HUM,ABL,PL,['savaşçılardan']
savaşçı,HUM,LOC,SG,['savaşçıda']
savaşçı,HUM,LOC,PL,['savaşçılarda']
savaşçı,HUM,GEN,SG,['savaşçının']
savaşçı,HUM,GEN,PL,['savaşçıların']
vekil,HUM,NOM,SG,['vekil']
vekil,HUM,NOM,PL,['vekiller']
vekil,HUM,DAT,SG,['vekile']
vekil,HUM,DAT,PL,['vekillere']
vekil,HUM,ACC,SG,['vekili']
vekil,HUM,ACC,PL,['vekilleri']
vekil,HUM,ABL,SG,['vekilden']
vekil,HUM,ABL,PL,['vekillerden']
vekil,HUM,LOC,SG,['vekilde']
vekil,HUM,LOC,PL,['vekillerde']
vekil,HUM,GEN,SG,['vekilin']
vekil,HUM,GEN,PL,['vekillerin']
veteriner,HUM,NOM,SG,['veteriner']
veteriner,HUM,NOM,PL,['veterinerler']
veteriner,HUM,DAT,SG,['veterinere']
veteriner,HUM,DAT,PL,['veterinerlere']
veteriner,HUM,ACC,SG,['veterineri']
veteriner,HUM,ACC,PL,['veterinerleri']
veteriner,HUM,ABL,SG,['veterinerden']
veteriner,HUM,ABL,PL,['veterinerlerden']
veteriner,HUM,LOC,SG,['veterinerde']
veteriner,HUM,LOC,PL,['veterinerlerde']
veteriner,HUM,GEN,SG,['veterinerin']
veteriner,HUM,GEN,PL,['veterinerlerin']
asker,HUM,NOM,SG,['asker']
asker,HUM,NOM,PL,['askerler']
asker,HUM,DAT,SG,['askere']
asker,HUM,DAT,PL,['askerlere']
asker,HUM,ACC,SG,['askeri']
asker,HUM,ACC,PL,['askerleri']
asker,HUM,ABL,SG,['askerden']
asker,HUM,ABL,PL,['askerlerden']
asker,HUM,LOC,SG,['askerde']
asker,HUM,LOC,PL,['askerlerde']
asker,HUM,GEN,SG,['askerin']
asker,HUM,GEN,PL,['askerlerin']
aktör,HUM,NOM,SG,['aktör']
aktör,HUM,NOM,PL,['aktörler']
aktör,HUM,DAT,SG,['aktöre']
aktör,HUM,DAT,PL,['aktörlere']
aktör,HUM,ACC,SG,['aktörü']
aktör,HUM,ACC,PL,['aktörleri']
aktör,HUM,ABL,SG,['aktörden']
aktör,HUM,ABL,PL,['aktörlerden']
aktör,HUM,LOC,SG,['aktörde']
aktör,HUM,LOC,PL,['aktörlerde']
aktör,HUM,GEN,SG,['aktörün']
aktör,HUM,GEN,PL,['aktörlerin']
avcı,HUM,NOM,SG,['avcı']
avcı,HUM,NOM,PL,['avcılar']
avcı,HUM,DAT,SG,['avcıya']
avcı,HUM,DAT,PL,['avcılara']
avcı,HUM,ACC,SG,['avcıyı']
avcı,HUM,ACC,PL,['avcıları']
avcı,HUM,ABL,SG,['avcıdan']
avcı,HUM,ABL,PL,['avcılardan']
avcı,HUM,LOC,SG,['avcıda']
avcı,HUM,LOC,PL,['avcılarda']
avcı,HUM,GEN,SG,['avcının']
avcı,HUM,GEN,PL,['avcıların']
terapist,HUM,NOM,SG,['terapist']
terapist,HUM,NOM,PL,['terapistler']
terapist,HUM,DAT,SG,['terapiste']
terapist,HUM,DAT,PL,['terapistlere']
terapist,HUM,ACC,SG,['terapisti']
terapist,HUM,ACC,PL,['terapistleri']
terapist,HUM,ABL,SG,['terapistten']
terapist,HUM,ABL,PL,['terapistlerden']
terapist,HUM,LOC,SG,['terapistte']
terapist,HUM,LOC,PL,['terapistlerde']
terapist,HUM,GEN,SG,['terapistin']
terapist,HUM,GEN,PL,['terapistlerin']
kardeş,HUM,NOM,SG,['kardeş']
kardeş,HUM,NOM,PL,['kardeşler']
