base_word,tense,polarity,person,evidentiality,plurality,inflection
okumak,PST,POS,3,IND,SG,['okudu']
okumak,PST,POS,3,IND,PL,['okudular']
okumak,PST,POS,3,INFR,SG,['okumuş']
okumak,PST,POS,3,INFR,PL,['okumuşlar']
yazmak,PST,POS,3,IND,SG,['yazdı']
yazmak,PST,POS,3,IND,PL,['yazdılar']
yazmak,PST,POS,3,INFR,SG,['yazmış']
yazmak,PST,POS,3,INFR,PL,['yazmışlar']
öğrenmek,PST,POS,3,IND,SG,['öğrendi']
öğrenmek,PST,POS,3,IND,PL,['öğrendiler']
öğrenmek,PST,POS,3,INFR,SG,['öğrenmiş']
öğrenmek,PST,POS,3,INFR,PL,['öğrenmişler']
oturmak,PST,POS,3,IND,SG,['oturdu']
oturmak,PST,POS,3,IND,PL,['oturdular']
oturmak,PST,POS,3,INFR,SG,['oturmuş']
oturmak,PST,POS,3,INFR,PL,['oturmuşlar']
kalkmak,PST,POS,3,IND,SG,['kalktı']
kalkmak,PST,POS,3,IND,PL,['kalktılar']
kalkmak,PST,POS,3,INFR,SG,['kalkmış']
kalkmak,PST,POS,3,INFR,PL,['kalkmışlar']
beklemek,PST,POS,3,IND,SG,['bekledi']
beklemek,PST,POS,3,IND,PL,['beklediler']
beklemek,PST,POS,3,INFR,SG,['beklemiş']
beklemek,PST,POS,3,INFR,PL,['beklemişler']
duymak,PST,POS,3,IND,SG,['duydu']
duymak,PST,POS,3,IND,PL,['duydular']
duymak,PST,POS,3,INFR,SG,['duymuş']
duymak,PST,POS,3,INFR,PL,['duymuşlar']
gezmek,PST,POS,3,IND,SG,['gezdi']
gezmek,PST,POS,3,IND,PL,['gezdiler']
gezmek,PST,POS,3,INFR,SG,['gezmiş']
gezmek,PST,POS,3,INFR,PL,['gezmişler']
savunmak,PST,POS,3,IND,SG,['savundu']
savunmak,PST,POS,3,IND,PL,['savundular']
savunmak,PST,POS,3,INFR,SG,['savunmuş']
savunmak,PST,POS,3,INFR,PL,['savunmuşlar']
açmak,PST,POS,3,IND,SG,['açtı']
açmak,PST,POS,3,IND,PL,['açtılar']
açmak,PST,POS,3,INFR,SG,['açmış']
açmak,PST,POS,3,INFR,PL,['açmışlar']
kapatmak,PST,POS,3,IND,SG,['kapattı']
kapatmak,PST,POS,3,IND,PL,['kapattılar']
kapatmak,PST,POS,3,INFR,SG,['kapatmış']
kapatmak,PST,POS,3,INFR,PL,['kapatmışlar']
öğrenmek,PST,POS,3,IND,SG,['öğrendi']
öğrenmek,PST,POS,3,IND,PL,['öğrendiler']
öğrenmek,PST,POS,3,INFR,SG,['öğrenmiş']
öğrenmek,PST,POS,3,INFR,PL,['öğrenmişler']
aramak,PST,POS,3,IND,SG,['aradı']
aramak,PST,POS,3,IND,PL,['aradılar']
aramak,PST,POS,3,INFR,SG,['aramış']
aramak,PST,POS,3,INFR,PL,['aramışlar']
içmek,PST,POS,3,IND,SG,['içti']
içmek,PST,POS,3,IND,PL,['içtiler']
içmek,PST,POS,3,INFR,SG,['içmiş']
içmek,PST,POS,3,INFR,PL,['içmişler']
atıştırmak,PST,POS,3,IND,SG,['atıştırdı']
atıştırmak,PST,POS,3,IND,PL,['atıştırdılar']
atıştırmak,PST,POS,3,INFR,SG,['atıştırmış']
atıştırmak,PST,POS,3,INFR,PL,['atıştırmışlar']
dönmek,PST,POS,3,IND,SG,['döndü']
dönmek,PST,POS,3,IND,PL,['döndüler']
dönmek,PST,POS,3,INFR,SG,['dönmüş']
dönmek,PST,POS,3,INFR,PL,['dönmüşler']
dönmek,PST,POS,3,IND,SG,['döndü']
dönmek,PST,POS,3,IND,PL,['döndüler']
dönmek,PST,POS,3,INFR,SG,['dönmüş']
dönmek,PST,POS,3,INFR,PL,['dönmüşler']
getirmek,PST,POS,3,IND,SG,['getirdi']
getirmek,PST,POS,3,IND,PL,['getirdiler']
getirmek,PST,POS,3,INFR,SG,['getirmiş']
getirmek,PST,POS,3,INFR,PL,['getirmişler']
uyumak,PST,POS,3,IND,SG,['uyudu']
uyumak,PST,POS,3,IND,PL,['uyudular']
uyumak,PST,POS,3,INFR,SG,['uyumuş']
uyumak,PST,POS,3,INFR,PL,['uyumuşlar']
